"Date","Price","Open","High","Low","Vol.","Change %"
"21-10-2020","28.45","28.55","29.10","28.05","12.45M","-0.70%"
"20-10-2020","28.65","28.50","29.25","28.20","14.93M","0.00%"
"19-10-2020","28.65","27.40","28.85","27.15","23.09M","5.33%"
"16-10-2020","27.20","27.15","27.45","26.75","15.81M","0.18%"
"15-10-2020","27.15","27.90","27.90","27.00","20.44M","-2.86%"
"14-10-2020","27.95","28.00","28.15","27.65","12.70M","-1.24%"
"13-10-2020","28.30","28.50","28.65","28.15","9.19M","-1.05%"
"12-10-2020","28.60","29.40","29.40","28.45","11.15M","-1.72%"
"09-10-2020","29.10","29.45","29.45","28.90","15.01M","-0.51%"
"08-10-2020","29.25","28.45","29.50","28.45","20.25M","2.99%"
"07-10-2020","28.40","29.35","29.40","28.25","23.76M","-3.24%"
"06-10-2020","29.35","29.70","29.80","29.15","23.68M","-0.68%"
"05-10-2020","29.55","29.70","30.00","29.40","17.90M","-0.17%"
"01-10-2020","29.60","29.70","29.90","29.20","29.78M","1.20%"
"30-09-2020","29.25","30.30","30.45","29.20","36.27M","-3.31%"
"29-09-2020","30.25","32.25","32.35","30.10","57.73M","-4.87%"
"28-09-2020","31.80","30.85","32.25","30.50","56.52M","5.47%"
"25-09-2020","30.15","30.00","30.45","28.85","57.97M","1.01%"
"24-09-2020","29.85","30.80","30.95","29.55","40.20M","-5.24%"
"23-09-2020","31.50","33.10","33.30","30.90","35.80M","-3.37%"
"22-09-2020","32.60","34.50","34.55","32.30","52.75M","-4.82%"
"21-09-2020","34.25","34.50","35.55","34.00","39.23M","-1.15%"
"18-09-2020","34.65","35.50","35.75","34.50","29.04M","-1.42%"
"17-09-2020","35.15","35.65","35.70","35.00","19.96M","-1.40%"
"16-09-2020","35.65","36.15","36.15","35.55","21.60M","-0.83%"
"15-09-2020","35.95","36.65","36.65","35.70","30.18M","-0.83%"
"14-09-2020","36.25","36.20","37.45","36.00","37.78M","-2.29%"
"11-09-2020","37.10","37.35","37.85","37.00","18.82M","0.13%"
"10-09-2020","37.05","37.00","37.30","36.35","18.33M","1.51%"
"09-09-2020","36.50","37.10","37.20","35.60","36.07M","-2.67%"
"08-09-2020","37.50","38.35","38.80","37.00","21.98M","-2.47%"
"07-09-2020","38.45","38.95","39.15","38.15","19.33M","-0.65%"
"04-09-2020","38.70","38.95","39.85","38.50","50.94M","-3.25%"
"03-09-2020","40.00","39.15","40.40","38.75","44.24M","2.17%"
"02-09-2020","39.15","38.90","39.40","38.05","39.48M","1.56%"
"01-09-2020","38.55","39.00","39.55","37.35","53.81M","0.00%"
"31-08-2020","38.55","42.05","42.45","38.00","108.98M","-7.44%"
"28-08-2020","41.65","40.25","42.10","40.10","133.65M","6.25%"
"27-08-2020","39.20","40.00","40.90","39.05","56.22M","-1.88%"
"26-08-2020","39.95","40.00","40.60","39.40","35.17M","-0.12%"
"25-08-2020","40.00","41.00","41.15","39.60","35.94M","-2.20%"
"24-08-2020","40.90","41.50","42.40","40.65","47.78M","0.62%"
"21-08-2020","40.65","39.45","41.95","39.20","179.88M","5.58%"
"20-08-2020","38.50","37.55","39.70","37.20","52.18M","1.32%"
"19-08-2020","38.00","37.75","38.65","37.70","30.24M","1.47%"
"18-08-2020","37.45","37.20","37.70","37.10","15.73M","1.22%"
"17-08-2020","37.00","37.90","37.90","36.70","20.97M","-0.94%"
"14-08-2020","37.35","39.20","39.45","36.70","51.95M","-4.11%"
"13-08-2020","38.95","36.50","39.55","36.20","128.23M","8.04%"
"12-08-2020","36.05","36.20","36.65","35.90","51.05M","0.84%"
"11-08-2020","35.75","36.60","36.75","35.60","38.28M","-1.38%"
"10-08-2020","36.25","36.00","37.65","35.85","60.90M","2.84%"
"07-08-2020","35.25","35.40","35.55","34.75","33.94M","-1.26%"
"06-08-2020","35.70","36.75","37.05","35.50","37.61M","-2.72%"
"05-08-2020","36.70","36.85","37.15","36.45","19.60M","0.14%"
"04-08-2020","36.65","36.45","37.45","36.00","34.06M","1.24%"
"03-08-2020","36.20","36.15","36.85","35.70","34.94M","0.70%"
"31-07-2020","35.95","36.80","36.95","35.75","37.10M","-2.31%"
"30-07-2020","36.80","38.80","39.00","36.45","48.85M","-4.29%"
"29-07-2020","38.45","37.40","40.10","37.35","99.01M","2.67%"
"28-07-2020","37.45","36.10","37.70","35.90","37.12M","3.45%"
"27-07-2020","36.20","36.90","36.90","35.80","25.41M","-1.90%"
"24-07-2020","36.90","37.40","37.70","36.60","20.98M","-2.12%"
"23-07-2020","37.70","37.90","38.30","37.60","14.88M","-0.79%"
"22-07-2020","38.00","38.30","38.95","37.50","39.54M","0.00%"
"21-07-2020","38.00","38.50","38.60","37.70","24.12M","0.00%"
"20-07-2020","38.00","38.75","39.05","37.80","27.20M","-0.91%"
"17-07-2020","38.35","36.90","39.15","36.80","78.87M","3.93%"
"16-07-2020","36.90","37.50","38.15","36.15","68.67M","0.27%"
"15-07-2020","36.80","39.50","39.90","36.35","68.99M","-5.40%"
"14-07-2020","38.90","41.95","41.95","38.50","126.71M","-8.69%"
"13-07-2020","42.60","42.45","43.00","41.80","44.81M","2.90%"
"10-07-2020","41.40","42.15","42.45","41.15","34.70M","-1.55%"
"09-07-2020","42.05","41.80","43.10","41.25","58.90M","1.94%"
"08-07-2020","41.25","42.50","43.05","41.00","62.36M","-3.06%"
"07-07-2020","42.55","43.75","44.10","42.20","111.72M","-2.30%"
"06-07-2020","43.55","39.05","44.40","38.80","253.76M","12.68%"
"03-07-2020","38.65","37.00","39.00","36.65","144.30M","5.31%"
"02-07-2020","36.70","37.00","37.15","36.40","38.22M","1.80%"
"01-07-2020","36.05","36.30","36.70","35.40","47.30M","0.98%"
"30-06-2020","35.70","36.60","37.80","35.00","81.19M","-0.14%"
"29-06-2020","35.75","36.20","36.80","35.35","46.34M","-3.12%"
"26-06-2020","36.90","38.70","38.70","36.50","90.49M","-2.51%"
"25-06-2020","37.85","36.30","38.50","35.55","144.57M","4.13%"
